Kanji	On	Kun
猫	–	neko
丈	jou	–
与	yo	ata;azuka;kumi
且	jyo;jo	ka;shigara;masa
丼	sei;shou;tan;ton	don;donburi
乏	bou;hou	tobo
乞	ki;kitsu;kotsu	ko-u
乾	kan;ken	kawa-kasu;kawa-ku;inui;hi;ho-su
亀	–	kame
井	jyou;sei	i;igeta
介	kai	suke;tasu-keru
仙	sen	–
企	ki	kuwada-teru;takura-mu
伊	i	kare;kore;tada
伏	fuku;buku	fu-su;fu-seru;kaku-seru;shitaga-u
伸	shin	no-basu;no-biru;no-beru;no-su;no-ru
佐	sa	suke;tasu-keru
依	i;e	yo-ru
俺	en	ore;ware
倒	tou;dou	tao-su;tao-reru;ko-keru;sakasama
偏	hen	katayo-ru;hitoe-ni
傘	sen	kasa
僕	boku;hoku	shimobe;yatsugare
儲	cho	soe;takuwa-eru;mou-ke;mou-keru
免	men;ban;ben	manuka-reru;u-mu;ya-meru;yuru-su
兔	to	usagi
凄	sei	samu-i;sugo-i;sugo-mu;susa-majii
凍	tou	koo-ru;kogo-eru;i-teru;shi-miru
刺	shi,seki	sa-saru;sa-su;soshi-ru;toge;nafuda
剤	zai;sui;sei	ma-zeru
勧	kan;ken	susu-meru
匹	hitsu;hiki	hiki;tagu-u
卓	taku;shitsu	sugu-reru;tsukue
占	sen	urana-u;shi-meru
召	shou	me-su
叶	kyou	kana-u
吐	to	ha-ku;tsu-ku;nu-kasu
吠	hai;bai	ho-eru
含	gan;kan;gon	fuku-mu;fuku-meru
吹	sui	fu-ku
吼	ku;kou	ho-eru
呂	ro;ryo	–
哲	tetsu	aki-raka;sato-i
喋	chou;tou	shabe-ru;fu-mu
喧	ken	kamabisu-shii;yakama-shii
喫	kitsu	ku-u;su-u;no-mu
嘉	ka	yo-i;yomi-suru
嘘	kyo	uso;ha-ku;fu-ku
嘩	ka	kamabisu-shii
噌	so;sou	kamabisu-shii
噛	getsu;gou	kaji-ru;ka-mu
埃	ai	chiri;hokori
