Kanji	On	Kun
一	ichi;itsu	hito-tsu;hito～
二	ni;ji	futa-tsu;futa～
三	san	mit-tsu;mi～
四	shi	yot-tsu;yon;yo～
五	go	itsu-tsu;itsu～
六	roku	mut-tsu;mutsu;mu;mui～
七	shichi	nana-tsu;nana;nano～
八	hachi;you	yat-tsu;yatsu;ya～
九	ku;kyuu	kokono-tsu;kokono～
十	juu;ji- じっ＝jixtsu	too;to
百	hyaku	momo
千	sen	chi～
上	jou	ue;a-geru;a-garu;nobo-ru;kami～;uwa～
下	ka;ge	shita;sa-geru;sa-garu;kuda-ru;kuda-su;kuda-saru;o-rosu;o-riru;shimo～
左	sa	hidari
右	u;yuu	migi
中	chuu;jyuu	naka
大	dai;tai	oo-kii;oo-ini
小	shou	chii-sai;ko～;o～
月	gatsu;getsu	tsuki
日	nichi;jitsu	hi;～ka
年	nen	toshi
早	sou	haya-i;haya-maru;haya-meru
木	moku;boku	ki;ko
林	rin	hayashi
山	san	yama
川	sen	kawa
土	do;to	tsuchi
空	kuu	sora;a-ku;a-keru;kara
田	den	ta
天	ten	ama
生	sei;shou	i-kiru;u-mu;u-mareru;nama;i-kasu;i-keru;ha-yasu;ha-eru;
花	ka	hana
草	sou	kusa
虫	chuu	mushi
犬	ken	inu
人	jin;nin	hito
名	mei;myou	na
女	jo;nyo	on’na
男	dan;nan	otoko
子	shi;su	ko
目	moku	me
耳	ji	mimi
口	kou	kuchi
手	shu	te
足	soku	ashi
見	ken	mi-ru
音	on	ne;oto
力	riki;ryoku	chikara
気	ki;ke	-
円	en	maru
入	nyuu	hai-ru;i-ru
出	shutsu	de-ru
立	ritsu	ta-tsu
休	kyuu	yasu-mu
先	sen	saki
夕	seki	yuu
本	hon	moto
文	bun;mon	fumi
字	ji	aza
学	gaku	mana-bu
校	kou	-
村	son	mura
町	chou	machi
森	shin	mori
正	sei	tada-shii
水	sui	mizu
火	ka	hi
玉	gyoku	tama
王	ou	-
石	seki	ishi
竹	chiku	take
糸	shi	ito
貝	-	kai
車	sha	kuruma
金	kin	kane
雨	u	ame
赤	seki	aka
青	sei	ao
白	haku	shiro
数	suu	kazu
多	ta	oo-i
少	shou	suku-nai;suko-shi
万	man	yorozu
半	han	naka-ba
形	kei; gyou	katachi
太	ta	futo-i
細	sai	hoso-i
広	kou	hiro-i
長	chou	naga-i
点	ten	bochi△
丸	gan	maru
交	kou	maji-waru
光	kou	hikari;hika-ru
角	kaku	kado;tsuno;sumi
計	kei	haka-ru
直	choku;jiki	tada-chi;nao-su
線	sen	-
矢	shi	ya
弱	jaku	yowa-i
強	kyou	tsuyo-i
高	kou	taka-i
同	dou	ona-ji
親	shin	oya
母	bo	haha;kaa
父	fu	chichi;tou
姉	shi	ane
兄	kei; kyou	ani
弟	tei; dai	otouto
妹	mai	imouto
自	ji; shi	mizuka-ra
友	yuu	tomo
体	tai	karada
毛	mou	ke
頭	tou	atama
顔	gan	kao
首	shu	kubi
心	shin	kokoro
時	ji	toki
曜	you	-
朝	chou	asa
昼	chuu	hiru
夜	ya	yoru
分	fun;bun; bu	wa-karu;wa-keru;wa-kareru;wa-katsu
週	shuu	-
春	shun	haru
夏	ka	natsu
秋	shuu	aki
冬	tou	fuyu
今	kon	ima
新	shin	atara-shii
古	ko	furu-i
間	kan;ken	ma;aida
方	hou	kata
北	hoku	kita
南	nan	minami
東	tou	higashi;azuma
西	sei; sai	nishi
遠	en	too-i
近	kin	chika-i
前	zen	mae
後	go;kou	nochi;ushi-ro;ato
内	nai	uchi
外	gai; ge	soto;hoka;hazu-su
場	jou	ba
