Kanji	Hanzi	Syllabe	ModeSyl	Mode2Syl	LieuSyl	Label	DansDict	FichierJap	DebutJap	FinJap	Pinyin	ModePin	Mode2Pin	LieuPin	FichierCh	DebutCh	FinCh
大	大	dai	occlusive	sonore	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	0.76	0.97	dà	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0054.T2.ch.snt	2.92	3.03
体	体	tai	occlusive	sourde	alveolaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	0.97	1.1	tǐ	occlusive	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0760.T2.ch.snt	15.28	15.45
毎	每	mai	nasale	_	bilabiale	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	1.1	1.29	měi	nasale	_	bilabiale	../Corpora/MSLT_Datas/MSLT_Test_CH_0063.T2.ch.snt	8.74	8.93
日	日	nichi	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	1.29	1.62	rì	fricative	sonore	retroflexe	../Corpora/MSLT_Datas/MSLT_Dev_CH_0562.T2.ch.snt	8.9	9.29
車	车	kuruma	occlusive	sourde	velaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	1.62	1.95	chē	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Test_CH_0324.T2.ch.snt	6.16	6.41
中	中	naka	nasale	_	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	2.04	2.24	zhōng	affriquee	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0192.T2.ch.snt	0.9	0.99
弾	弹	hi	fricative	_	palatale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_0123.T2.jp.snt	2.31	2.56	dàn	occlusive	non_aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0563.T2.ch.snt	6.6	6.88
野	野	ya	spirant	_	palatal	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3580.T2.jp.snt	1.6	1.73	yě	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0320.T2.ch.snt	2.82	2.99
球	球	kyuu	occlusive	sourde	velaire	1	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3580.T2.jp.snt	1.73	1.95	qiú	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0022.T2.ch.snt	0.65	0.94
場	场	ba	occlusive	sonore	bilabiale	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3580.T2.jp.snt	5.56	5.68	chǎng	affriquee	aspiree	dentale/alveo-dentale	../Corpora/MSLT_Datas/MSLT_Dev_CH_0849.T2.ch.snt	5.33	5.55
行	行	i	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3580.T2.jp.snt	5.78	5.82	xíng	fricative	sourde	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0843.T2.ch.snt	8.71	8.93
要	要	you	spirant	_	palatal	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2345.T2.jp.snt	0.85	1.13	yào	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0214.T2.ch.snt	4.41	4.78
要	要	you	spirant	_	palatal	1	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2345.T2.jp.snt	0.85	1.13	yào	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0774.T2.ch.snt	14.71	14.86
確	确	tashi	occlusive	sourde	alveolaire	0	1	../Corpora/MSLT_Datas/MSLT_Test_JP_3459.T2.jp.snt	0	0.85	què	affriquee	aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0846.T2.ch.snt	2.14	2.39
違	违	chiga	affriquee	sourde	alveolo-palatale	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	0	0.03	wéi	semi_voyelle	_	_	../Corpora/MSLT_Datas/MSLT_Test_CH_0268.T2.ch.snt	6.2	6.39
今	今	ima	voyelle	_	_	0	1	../Corpora/MSLT_Datas/MSLT_Dev_JP_2161.T2.jp.snt	0.96	1.5	jīn	affriquee	non_aspiree	palatale	../Corpora/MSLT_Datas/MSLT_Test_CH_0334.T2.ch.snt	7.79	7.93
