Kanji	Hanzi	Syllabe	Label	DansDict	FichierJap	Pinyin	ModePin	Mode2Pin	LieuPin	FichierCh
美	美	o	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2709.T2.jp.snt	měi	nasale	_	bilabiale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0918.T2.ch.snt
味	味	i	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2709.T2.jp.snt	wèi	semi_voyelle	_	_	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0688.T2.ch.snt
自	自	ji	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3018.T2.jp.snt	zì	affriquee	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0813.T2.ch.snt
分	分	bun	1	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3018.T2.jp.snt	fēn	fricative	sourde	labio-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0149.T2.ch.snt
好	好	su	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3018.T2.jp.snt	hǎo	fricative	sourde	velaire	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0807.T2.ch.snt
選	选	era	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3018.T2.jp.snt	xuǎn	fricative	sourde	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0271.T2.ch.snt
作	作	tsuku	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2998.T2.jp.snt	zuò	affriquee	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_1036.T2.ch.snt
作	作	tsuku	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_2998.T2.jp.snt	zuò	affriquee	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0491.T2.ch.snt
待	待	ma	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_3287.T2.jp.snt	dài	occlusive	non_aspiree	dentale/alveo-dentale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0945.T2.ch.snt
見	见	mi	0	1	../MSLT_Corpus/Data/MSLT_Test_JA_20170914/MSLT_Test_JP_4034.T2.jp.snt	jiàn	affriquee	non_aspiree	palatale	../MSLT_Corpus/Data/MSLT_Test_ZH_20170914/MSLT_Test_CH_0856.T2.ch.snt
